"Order_ID","Order_Date","Customer_ID","Product_ID","Category","Sub-Category","Product_Name","Sales","Quantity","Discount","Profit"
"CA-2016-117590","2016-12-08","GH-14485","TEC-PH-10004977","Technology","Phones","GE 30524EE4","1097.54","7","0.2","123.47"
"CA-2016-117590","2016-12-08","GH-14485","FUR-FU-10003664","Furniture","Furnishings","Electrix Architect's Clamp-On Swing Arm Lamp Black","190.92","5","0.6","-147.96"
"CA-2015-117415","2015-12-27","SN-20710","OFF-EN-10002986","Office Supplies","Envelopes","#10-4 1/8 x 9 1/2 Premium Diagonal Seam Envelopes","113.33","9","0.2","35.42"
"CA-2015-117415","2015-12-27","SN-20710","FUR-BO-10002545","Furniture","Bookcases","Atlantic Metals Mobile 3-Shelf Bookcases Custom Colors","532.4","3","0.32","-46.98"
"CA-2015-117415","2015-12-27","SN-20710","FUR-CH-10004218","Furniture","Chairs","Global Fabric Manager's Chair Dark Gray","212.06","3","0.3","-15.15"
"CA-2015-117415","2015-12-27","SN-20710","TEC-PH-10000486","Technology","Phones","Plantronics HL10 Handset Lifter","371.17","4","0.2","41.76"
"CA-2017-120999","2017-09-10","LC-16930","TEC-PH-10004093","Technology","Phones","Panasonic Kx-TS550","147.17","4","0.2","16.56"
"CA-2016-101343","2016-07-17","RA-19885","OFF-ST-10003479","Office Supplies","Storage","Eldon Base for stackable storage shelf platinum","77.88","2","0.0","3.89"
"CA-2017-139619","2017-09-19","ES-14080","OFF-ST-10003282","Office Supplies","Storage","Advantus 10-Drawer Portable Organizer Chrome Metal Frame Smoke Drawers","95.62","2","0.2","9.56"
"CA-2016-118255","2016-03-11","ON-18715","TEC-AC-10000171","Technology","Accessories","Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc 25/Pack","45.98","2","0.0","19.77"
"CA-2016-118255","2016-03-11","ON-18715","OFF-BI-10003291","Office Supplies","Binders","Wilson Jones Leather-Like Binders with DublLock Round Rings","17.46","2","0.0","8.21"
"CA-2014-146703","2014-10-20","PO-18865","OFF-ST-10001713","Office Supplies","Storage","Gould Plastics 9-Pocket Panel Bin 18-3/8w x 5-1/4d x 20-1/2h Black","211.96","4","0.0","8.48"
"CA-2016-169194","2016-06-20","LH-16900","TEC-AC-10002167","Technology","Accessories","ImationÂ 8gb Micro Traveldrive Usb 2.0Â Flash Drive","45.0","3","0.0","4.95"
"CA-2016-169194","2016-06-20","LH-16900","TEC-PH-10003988","Technology","Phones","LF Elite 3D Dazzle Designer Hard Case Cover Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite","21.8","2","0.0","6.1"
"CA-2015-115742","2015-04-18","DP-13000","OFF-BI-10004410","Office Supplies","Binders","C-Line Peel & Stick Add-On Filing Pockets 8-3/4 x 5-1/8 10/Pack","38.22","6","0.0","17.96"
"CA-2015-115742","2015-04-18","DP-13000","OFF-LA-10002762","Office Supplies","Labels","Avery 485","75.18","6","0.0","35.33"
"CA-2015-115742","2015-04-18","DP-13000","FUR-FU-10001706","Furniture","Furnishings","Longer-Life Soft White Bulbs","6.16","2","0.0","2.96"
"CA-2015-115742","2015-04-18","DP-13000","FUR-CH-10003061","Furniture","Chairs","Global Leather Task Chair Black","89.99","1","0.0","17.1"
"CA-2016-105816","2016-12-11","JM-15265","OFF-FA-10000304","Office Supplies","Fasteners","Advantus Push Pins","15.26","7","0.0","6.26"
"CA-2016-105816","2016-12-11","JM-15265","TEC-PH-10002447","Technology","Phones","AT&T CL83451 4-Handset Telephone","1029.95","5","0.0","298.69"
"CA-2016-111682","2016-06-17","TB-21055","OFF-ST-10000604","Office Supplies","Storage","Home/Office Personal File Carts","208.56","6","0.0","52.14"
"CA-2016-111682","2016-06-17","TB-21055","OFF-PA-10001569","Office Supplies","Paper","Xerox 232","32.4","5","0.0","15.55"
"CA-2016-111682","2016-06-17","TB-21055","FUR-CH-10003968","Furniture","Chairs","Novimex Turbo Task Chair","319.41","5","0.1","7.1"
"CA-2016-111682","2016-06-17","TB-21055","OFF-PA-10000587","Office Supplies","Paper","Array Parchment Paper Assorted Colors","14.56","2","0.0","6.99"
"CA-2016-111682","2016-06-17","TB-21055","TEC-AC-10002167","Technology","Accessories","ImationÂ 8gb Micro Traveldrive Usb 2.0Â Flash Drive","30.0","2","0.0","3.3"
"CA-2016-111682","2016-06-17","TB-21055","OFF-BI-10001460","Office Supplies","Binders","Plastic Binding Combs","48.48","4","0.2","16.36"
"CA-2016-111682","2016-06-17","TB-21055","OFF-AR-10001868","Office Supplies","Art","Prang Dustless Chalk Sticks","1.68","1","0.0","0.84"
"CA-2015-135545","2015-11-24","KM-16720","TEC-AC-10004633","Technology","Accessories","Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc 3/Pack","13.98","2","0.0","6.15"
"CA-2015-135545","2015-11-24","KM-16720","OFF-BI-10001078","Office Supplies","Binders","Acco PRESSTEX Data Binder with Storage Hooks Dark Blue 14 7/8 X 11","25.82","6","0.2","9.36"
"CA-2015-135545","2015-11-24","KM-16720","OFF-PA-10003892","Office Supplies","Paper","Xerox 1943","146.73","3","0.0","68.96"
"CA-2015-135545","2015-11-24","KM-16720","FUR-FU-10000397","Furniture","Furnishings","Luxo Economy Swing Arm Lamp","79.76","4","0.0","22.33"
"US-2015-164175","2015-04-30","PS-18970","FUR-CH-10001146","Furniture","Chairs","Global Value Mid-Back Manager's Chair Gray","213.12","5","0.3","-15.22"
"CA-2014-106376","2014-12-05","BS-11590","OFF-AR-10002671","Office Supplies","Art","Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener Beige","1113.02","8","0.2","111.3"
"CA-2014-106376","2014-12-05","BS-11590","TEC-PH-10002726","Technology","Phones","netTALK DUO VoIP Telephone Service","167.97","4","0.2","62.99"
"CA-2016-119823","2016-06-04","KD-16270","OFF-PA-10000482","Office Supplies","Paper","Snap-A-Way Black Print Carbonless Ruled Speed Letter Triplicate","75.88","2","0.0","35.66"
"CA-2016-106075","2016-09-18","HM-14980","OFF-BI-10004654","Office Supplies","Binders","Avery Binding System Hidden Tab Executive Style Index Sets","4.62","1","0.2","1.73"
"CA-2017-114440","2017-09-14","TB-21520","OFF-PA-10004675","Office Supplies","Paper","Telephone Message Books with Fax/Mobile Section 5 1/2 x 3 3/16","19.05","3","0.0","8.76"
"US-2015-134026","2015-04-26","JE-15745","FUR-CH-10000513","Furniture","Chairs","High-Back Leather Manager's Chair","831.94","8","0.2","-114.39"
"US-2015-134026","2015-04-26","JE-15745","FUR-FU-10003708","Furniture","Furnishings","Tenex Traditional Chairmats for Medium Pile Carpet Standard Lip 36 x 48","97.04","2","0.2","1.21"
"US-2015-134026","2015-04-26","JE-15745","OFF-ST-10004123","Office Supplies","Storage","Safco Industrial Wire Shelving System","72.78","1","0.2","-18.2"
"US-2017-118038","2017-12-09","KB-16600","OFF-BI-10004182","Office Supplies","Binders","Economy Binders","1.25","3","0.8","-1.93"
"US-2017-118038","2017-12-09","KB-16600","FUR-FU-10000260","Furniture","Furnishings","6 Cubicle Wall Clock Black","9.71","3","0.6","-5.82"
"US-2017-118038","2017-12-09","KB-16600","OFF-ST-10000615","Office Supplies","Storage","SimpliFile Personal File Black Granite 15w x 6-15/16d x 11-1/4h","27.24","3","0.2","2.72"
"US-2014-147606","2014-11-26","JE-15745","FUR-FU-10003194","Furniture","Furnishings","Eldon Expressions Desk Accessory Wood Pencil Holder Oak","19.3","5","0.6","-14.48"
"CA-2016-127208","2016-06-12","SC-20770","OFF-AP-10002118","Office Supplies","Appliances","1.7 Cubic Foot Compact Cube Office Refrigerators","208.16","1","0.0","56.2"
"CA-2016-127208","2016-06-12","SC-20770","OFF-BI-10002309","Office Supplies","Binders","Avery Heavy-Duty EZD  Binder With Locking Rings","16.74","3","0.0","8.04"
"CA-2014-139451","2014-10-12","DN-13690","OFF-AR-10002053","Office Supplies","Art","Premium Writing Pencils Soft #2 by Central Association for the Blind","14.9","5","0.0","4.17"
"CA-2014-139451","2014-10-12","DN-13690","OFF-ST-10002370","Office Supplies","Storage","Sortfiler Multipurpose Personal File Organizer Black","21.39","1","0.0","6.2"
"CA-2015-149734","2015-09-03","JC-16105","OFF-EN-10000927","Office Supplies","Envelopes","Jet-Pak Recycled Peel 'N' Seal Padded Mailers","200.98","7","0.2","62.81"
"US-2017-119662","2017-11-13","CS-12400","OFF-ST-10003656","Office Supplies","Storage","Safco Industrial Wire Shelving","230.38","3","0.2","-48.95"
"CA-2017-140088","2017-05-28","PO-18865","FUR-CH-10000863","Furniture","Chairs","Novimex Swivel Fabric Task Chair","301.96","2","0.0","33.22"
"CA-2017-155558","2017-10-26","PG-18895","TEC-AC-10001998","Technology","Accessories","LogitechÂ LS21 Speaker System - PC Multimedia - 2.1-CH - Wired","19.99","1","0.0","6.8"
"CA-2017-155558","2017-10-26","PG-18895","OFF-LA-10000134","Office Supplies","Labels","Avery 511","6.16","2","0.0","2.96"
"CA-2016-159695","2016-04-05","GM-14455","OFF-ST-10003442","Office Supplies","Storage","Eldon Portable Mobile Manager","158.37","7","0.2","13.86"
"CA-2016-109806","2016-09-17","JS-15685","OFF-AR-10004930","Office Supplies","Art","Turquoise Lead Holder with Pocket Clip","20.1","3","0.0","6.63"
"CA-2016-109806","2016-09-17","JS-15685","TEC-PH-10004093","Technology","Phones","Panasonic Kx-TS550","73.58","2","0.2","8.28"
"CA-2016-109806","2016-09-17","JS-15685","OFF-PA-10000304","Office Supplies","Paper","Xerox 1995","6.48","1","0.0","3.11"
"CA-2015-149587","2015-01-31","KB-16315","OFF-PA-10003177","Office Supplies","Paper","Xerox 1999","12.96","2","0.0","6.22"
"CA-2015-149587","2015-01-31","KB-16315","FUR-FU-10003799","Furniture","Furnishings","Seth Thomas 13 1/2 Wall Clock","53.34","3","0.0","16.54"
"CA-2015-149587","2015-01-31","KB-16315","OFF-BI-10002852","Office Supplies","Binders","Ibico Standard Transparent Covers","32.96","2","0.0","16.15"
"US-2017-109484","2017-11-06","RB-19705","OFF-BI-10004738","Office Supplies","Binders","Flexible Leather- Look Classic Collection Ring Binder","5.68","1","0.7","-3.79"
"CA-2017-161018","2017-11-09","PN-18775","FUR-FU-10000629","Furniture","Furnishings","9-3/4 Diameter Round Wall Clock","96.53","7","0.0","40.54"
"CA-2017-157833","2017-06-17","KD-16345","OFF-BI-10001721","Office Supplies","Binders","Trimflex Flexible Post Binders","51.31","3","0.2","17.96"
"CA-2016-149223","2016-09-06","ER-13855","OFF-AP-10000358","Office Supplies","Appliances","Fellowes Basic Home/Office Series Surge Protectors","77.88","6","0.0","22.59"
"CA-2016-158568","2016-08-29","RB-19465","OFF-PA-10003256","Office Supplies","Paper","Avery Personal Creations Heavyweight Cards","64.62","7","0.2","22.62"
"CA-2016-158568","2016-08-29","RB-19465","TEC-AC-10001767","Technology","Accessories","SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card","95.98","3","0.2","-10.8"
"CA-2016-158568","2016-08-29","RB-19465","OFF-BI-10002609","Office Supplies","Binders","Avery Hidden Tab Dividers for Binding Systems","1.79","3","0.8","-3.04"
"CA-2016-129903","2016-12-01","GZ-14470","OFF-PA-10004040","Office Supplies","Paper","Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)","23.92","4","0.0","11.72"
"US-2015-156867","2015-11-13","LC-16870","TEC-AC-10001552","Technology","Accessories","Logitech K350 2.4Ghz Wireless Keyboard","238.9","6","0.2","-26.88"
"US-2015-156867","2015-11-13","LC-16870","FUR-FU-10004006","Furniture","Furnishings","Deflect-o DuraMat Lighweight Studded Beveled Mat for Low Pile Carpeting","102.36","3","0.2","-3.84"
"US-2015-156867","2015-11-13","LC-16870","OFF-BI-10002794","Office Supplies","Binders","Avery Trapezoid Ring Binder 3 Capacity Black 1040 sheets","36.88","3","0.7","-25.82"
"CA-2017-119004","2017-11-23","JM-15250","TEC-AC-10003499","Technology","Accessories","Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive","74.11","8","0.2","17.6"
"CA-2017-119004","2017-11-23","JM-15250","TEC-PH-10002844","Technology","Phones","Speck Products Candyshell Flip Case","27.99","1","0.2","2.1"
"CA-2017-119004","2017-11-23","JM-15250","OFF-AR-10000390","Office Supplies","Art","Newell Chalk Holder","3.3","1","0.2","1.07"
"CA-2015-129476","2015-10-15","PA-19060","TEC-AC-10000844","Technology","Accessories","LogitechÂ Gaming G510s - Keyboard","339.96","5","0.2","67.99"
"CA-2017-146780","2017-12-25","CV-12805","FUR-FU-10001934","Furniture","Furnishings","Magnifier Swing Arm Lamp","41.96","2","0.0","10.91"
"CA-2016-128867","2016-11-03","CL-12565","OFF-AR-10000380","Office Supplies","Art","Hunt PowerHouse Electric Pencil Sharpener Blue","75.96","2","0.0","22.79"
"CA-2016-128867","2016-11-03","CL-12565","OFF-BI-10003981","Office Supplies","Binders","Avery Durable Plastic 1 Binders","27.24","6","0.0","13.35"
"CA-2014-115259","2014-08-25","RC-19960","OFF-FA-10000621","Office Supplies","Fasteners","OIC Colored Binder Clips Assorted Sizes","40.1","14","0.2","14.53"
"CA-2014-115259","2014-08-25","RC-19960","OFF-EN-10002600","Office Supplies","Envelopes","Redi-Strip #10 Envelopes 4 1/8 x 9 1/2","4.72","2","0.2","1.65"
"CA-2014-115259","2014-08-25","RC-19960","OFF-PA-10004965","Office Supplies","Paper","Xerox 1921","23.98","3","0.2","7.49"
"CA-2014-115259","2014-08-25","RC-19960","OFF-EN-10002504","Office Supplies","Envelopes","Tyvek  Top-Opening Peel & Seel Envelopes Plain White","130.46","6","0.2","44.03"
"CA-2015-110457","2015-03-02","DK-13090","FUR-TA-10001768","Furniture","Tables","Hon Racetrack Conference Tables","787.53","3","0.0","165.38"
"US-2015-136476","2015-04-05","GG-14650","OFF-BI-10003650","Office Supplies","Binders","GBC DocuBind 300 Electric Binding Machine","157.79","1","0.7","-115.72"
"CA-2016-103730","2016-06-12","SC-20725","FUR-FU-10002157","Furniture","Furnishings","Artistic Insta-Plaque","47.04","3","0.0","18.35"
"CA-2016-103730","2016-06-12","SC-20725","OFF-BI-10003910","Office Supplies","Binders","DXL Angle-View Binders with Locking Rings by Samsill","30.84","4","0.0","13.88"
"CA-2016-103730","2016-06-12","SC-20725","OFF-ST-10000777","Office Supplies","Storage","Companion Letter/Legal File Black","226.56","6","0.0","63.44"
"CA-2016-103730","2016-06-12","SC-20725","OFF-EN-10002500","Office Supplies","Envelopes","Globe Weis Peel & Seel First Class Envelopes","115.02","9","0.0","51.76"
"CA-2016-103730","2016-06-12","SC-20725","TEC-PH-10003875","Technology","Phones","KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7","68.04","7","0.0","19.73"
"US-2014-152030","2014-12-26","AD-10180","FUR-CH-10004063","Furniture","Chairs","Global Deluxe High-Back Manager's Chair","600.56","3","0.3","-8.58"
"US-2014-134614","2014-09-20","PF-19165","FUR-TA-10004534","Furniture","Tables","Bevis 44 x 96 Conference Tables","617.7","6","0.5","-407.68"
"US-2017-107272","2017-11-05","TS-21610","OFF-BI-10003274","Office Supplies","Binders","Avery Durable Slant Ring Binders No Labels","2.39","2","0.7","-1.83"
"US-2017-107272","2017-11-05","TS-21610","OFF-ST-10002974","Office Supplies","Storage","Trav-L-File Heavy-Duty Shuttle II Black","243.99","7","0.2","30.5"
"US-2016-125969","2016-11-06","LS-16975","FUR-CH-10001146","Furniture","Chairs","Global Task Chair Black","81.42","2","0.2","-9.16"
"US-2016-125969","2016-11-06","LS-16975","FUR-FU-10003773","Furniture","Furnishings","Eldon Cleatmat Plus Chair Mats for High Pile Carpets","238.56","3","0.0","26.24"
"US-2017-164147","2017-02-02","DW-13585","TEC-PH-10002293","Technology","Phones","Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5","59.97","5","0.4","-11.99"
"US-2017-164147","2017-02-02","DW-13585","OFF-PA-10002377","Office Supplies","Paper","Xerox 1916","78.3","2","0.2","29.36"
"US-2017-164147","2017-02-02","DW-13585","OFF-FA-10002780","Office Supplies","Fasteners","Staples","21.46","9","0.2","6.97"
"CA-2016-145583","2016-10-13","LC-16885","OFF-PA-10001804","Office Supplies","Paper","Xerox 195","20.04","3","0.0","9.62"
"CA-2016-145583","2016-10-13","LC-16885","OFF-PA-10001736","Office Supplies","Paper","Xerox 1880","35.44","1","0.0","16.66"
"CA-2016-145583","2016-10-13","LC-16885","OFF-AR-10001149","Office Supplies","Art","Sanford Colorific Colored Pencils 12/Box","11.52","4","0.0","3.46"
"CA-2016-145583","2016-10-13","LC-16885","OFF-FA-10002988","Office Supplies","Fasteners","Ideal Clamps","4.02","2","0.0","1.97"
"CA-2016-145583","2016-10-13","LC-16885","OFF-BI-10004781","Office Supplies","Binders","GBC Wire Binding Strips","76.18","3","0.2","26.66"
"CA-2016-145583","2016-10-13","LC-16885","OFF-SU-10001218","Office Supplies","Supplies","Fiskars Softgrip Scissors","65.88","6","0.0","18.45"
"CA-2016-145583","2016-10-13","LC-16885","FUR-FU-10001706","Furniture","Furnishings","Longer-Life Soft White Bulbs","43.12","14","0.0","20.7"
"CA-2016-110366","2016-09-05","JD-15895","FUR-FU-10004848","Furniture","Furnishings","Howard Miller 13-3/4 Diameter Brushed Chrome Round Wall Clock","82.8","2","0.2","10.35"
"CA-2017-106180","2017-09-18","SH-19975","OFF-AR-10000940","Office Supplies","Art","Newell 343","8.82","3","0.0","2.38"
"CA-2017-106180","2017-09-18","SH-19975","OFF-EN-10004030","Office Supplies","Envelopes","Convenience Packs of Business Envelopes","10.86","3","0.0","5.1"
"CA-2017-106180","2017-09-18","SH-19975","OFF-PA-10004327","Office Supplies","Paper","Xerox 1911","143.7","3","0.0","68.98"
"CA-2017-155376","2017-12-22","SG-20080","OFF-AP-10001058","Office Supplies","Appliances","Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators","839.43","3","0.0","218.25"
"CA-2015-110744","2015-09-07","HA-14920","OFF-ST-10003656","Office Supplies","Storage","Safco Industrial Wire Shelving","671.93","7","0.0","20.16"
"CA-2014-110072","2014-10-22","MG-17680","FUR-FU-10000521","Furniture","Furnishings","Seth Thomas 14 Putty-Colored Wall Clock","93.89","4","0.2","12.91"
"CA-2016-114489","2016-12-05","JE-16165","TEC-PH-10000215","Technology","Phones","Plantronics CordlessÂ Phone HeadsetÂ with In-line Volume - M214C","384.45","11","0.0","103.8"
"CA-2016-114489","2016-12-05","JE-16165","TEC-PH-10001448","Technology","Phones","Anker Astro 15000mAh USB Portable Charger","149.97","3","0.0","6.0"
"CA-2016-114489","2016-12-05","JE-16165","FUR-CH-10000454","Furniture","Chairs","Hon Deluxe Fabric Upholstered Stacking Chairs Rounded Back","1951.84","8","0.0","585.55"
"CA-2016-114489","2016-12-05","JE-16165","OFF-BI-10002735","Office Supplies","Binders","GBC Prestige Therm-A-Bind Covers","171.55","5","0.0","80.63"
"CA-2016-158834","2016-03-13","TW-21025","OFF-AP-10000326","Office Supplies","Appliances","Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection","157.92","5","0.2","17.77"
"CA-2016-158834","2016-03-13","TW-21025","TEC-PH-10001254","Technology","Phones","Jabra BIZ 2300 Duo QD Duo CordedÂ Headset","203.18","2","0.2","15.24"
"CA-2015-124919","2015-05-31","SP-20650","OFF-PA-10001950","Office Supplies","Paper","Southworth 25% Cotton Antique Laid Paper & Envelopes","58.38","7","0.0","26.27"
"CA-2015-124919","2015-05-31","SP-20650","OFF-PA-10002254","Office Supplies","Paper","Xerox 1883","105.52","4","0.0","48.54"
"CA-2015-124919","2015-05-31","SP-20650","OFF-ST-10001590","Office Supplies","Storage","Tenex Personal Project File with Scoop Front Design Black","80.88","6","0.0","21.03"
"CA-2015-118948","2015-05-28","NK-18490","OFF-AR-10001547","Office Supplies","Art","Newell 311","6.63","3","0.0","1.79"
"CA-2014-104269","2014-03-01","DB-13060","FUR-CH-10004063","Furniture","Chairs","Global Deluxe High-Back Manager's Chair","457.57","2","0.2","51.48"
"CA-2016-114104","2016-11-20","NP-18670","OFF-LA-10002475","Office Supplies","Labels","Avery 519","14.62","2","0.0","6.87"
"CA-2016-114104","2016-11-20","NP-18670","TEC-PH-10004536","Technology","Phones","Avaya 5420 Digital phone","944.93","7","0.0","236.23"
"CA-2016-162733","2016-05-11","TT-21070","OFF-PA-10002751","Office Supplies","Paper","Xerox 1920","5.98","1","0.0","2.69"
"CA-2015-119697","2015-12-28","EM-13960","TEC-AC-10003657","Technology","Accessories","Lenovo 17-Key USB Numeric Keypad","54.38","2","0.2","1.36"
"CA-2016-154508","2016-11-16","RD-19900","OFF-EN-10001990","Office Supplies","Envelopes","Staple envelope","28.4","5","0.0","13.35"
"CA-2016-113817","2016-11-07","MJ-17740","OFF-BI-10004002","Office Supplies","Binders","Wilson Jones International Size A4 Ring Binders","27.68","2","0.2","9.69"
"CA-2014-139892","2014-09-08","BM-11140","OFF-AR-10004441","Office Supplies","Art","BIC Brite Liner Highlighters","9.94","3","0.2","2.73"
"CA-2014-139892","2014-09-08","BM-11140","TEC-MA-10000822","Technology","Machines","Lexmark MX611dhe Monochrome Laser Printer","8159.95","8","0.4","-1359.99"
"CA-2014-139892","2014-09-08","BM-11140","OFF-ST-10000991","Office Supplies","Storage","Space Solutions HD Industrial Steel Shelving.","275.93","3","0.2","-58.63"
"CA-2014-139892","2014-09-08","BM-11140","FUR-CH-10004287","Furniture","Chairs","SAFCO Arco Folding Chair","1740.06","9","0.3","-24.86"
"CA-2014-139892","2014-09-08","BM-11140","OFF-AR-10002656","Office Supplies","Art","Sanford Liquid Accent Highlighters","32.06","6","0.2","6.81"
"CA-2014-139892","2014-09-08","BM-11140","OFF-AP-10002518","Office Supplies","Appliances","Kensington 7 Outlet MasterPiece Power Center","177.98","5","0.8","-453.85"
"CA-2014-139892","2014-09-08","BM-11140","TEC-PH-10003931","Technology","Phones","JBL Micro Wireless Portable Bluetooth Speaker","143.98","3","0.2","9.0"
